State,City,City_Inactive_Date,City_AddTime
CA,MARKLEEVILLE,,2018-01-01
CA,MARSHALL,,2018-01-01
CA,MARTELL,,2018-01-01
CA,MARTINEZ,,2018-01-01
CA,MARYSVILLE,,2018-01-01
CA,MATHER,,2018-01-01
CA,MAXWELL,,2018-01-01
CA,MAYWOOD,,2018-01-01
CA,MC FARLAND,,2018-01-01
CA,MC KITTRICK,,2018-01-01
CA,MCARTHUR,,2018-01-01
CA,MCCLELLAN,,2018-01-01
CA,MCCLOUD,,2018-01-01
CA,MCKINLEYVILLE,,2018-01-01
CA,MEADOW VALLEY,,2018-01-01
CA,MEADOW VISTA,,2018-01-01
CA,MECCA,,2018-01-01
CA,MENDOCINO,,2018-01-01
CA,MENDOTA,,2018-01-01
CA,MENIFEE,,2018-01-01
CA,MENLO PARK,,2018-01-01
CA,MENTONE,,2018-01-01
CA,MERCED,,2018-01-01
CA,MERIDIAN,,2018-01-01
CA,MI WUK VILLAGE,,2018-01-01
CA,MIDDLETOWN,,2018-01-01
CA,MIDPINES,,2018-01-01
CA,MIDWAY CITY,,2018-01-01
CA,MILFORD,,2018-01-01
CA,MILL CREEK,,2018-01-01
CA,MILL VALLEY,,2018-01-01
CA,MILLBRAE,,2018-01-01
CA,MILLVILLE,,2018-01-01
CA,MILPITAS,,2018-01-01
CA,MINERAL,,2018-01-01
CA,MIRA LOMA,,2018-01-01
CA,MIRAMONTE,,2018-01-01
CA,MIRANDA,,2018-01-01
CA,MISSION HILLS,,2018-01-01
CA,MISSION VIEJO,,2018-01-01
CA,MOCCASIN,,2018-01-01
CA,MODESTO,,2018-01-01
CA,MOJAVE,,2018-01-01
CA,MOKELUMNE HILL,,2018-01-01
CA,MONO HOT SPRINGS,,2018-01-01
CA,MONROVIA,,2018-01-01
CA,MONTAGUE,,2018-01-01
CA,MONTARA,,2018-01-01
CA,MONTCLAIR,,2018-01-01
CA,MONTE RIO,,2018-01-01
CA,MONTEBELLO,,2018-01-01
CA,MONTEREY,,2018-01-01
CA,MONTEREY PARK,,2018-01-01
CA,MONTGOMERY CREEK,,2018-01-01
CA,MONTROSE,,2018-01-01
CA,MOORPARK,,2018-01-01
CA,MORAGA,,2018-01-01
CA,MORENO VALLEY,,2018-01-01
CA,MORGAN HILL,,2018-01-01
CA,MORONGO VALLEY,,2018-01-01
CA,MORRO BAY,,2018-01-01
CA,MOSS BEACH,,2018-01-01
CA,MOSS LANDING,,2018-01-01
CA,MOUNT AUKUM,,2018-01-01
CA,MOUNT HAMILTON,,2018-01-01
CA,MOUNT HERMON,,2018-01-01
CA,MOUNT LAGUNA,,2018-01-01
CA,MOUNT SHASTA,,2018-01-01
CA,MOUNT WILSON,,2018-01-01
CA,MOUNTAIN CENTER,,2018-01-01
CA,MOUNTAIN PASS,,2018-01-01
CA,MOUNTAIN RANCH,,2018-01-01
CA,MOUNTAIN VIEW,,2018-01-01
CA,MT BALDY,,2018-01-01
CA,MURPHYS,,2018-01-01
CA,MURRIETA,,2018-01-01
CA,MYERS FLAT,,2018-01-01
CA,NAPA,,2018-01-01
